Row.names	hda6_1	hda6_2	ldl1_1	ldl1_2	input_1	input_2	logFC	logCPM	PValue	FDR	DHMG
AT1G02228	37.7177633680368	36.5984145181209	52.071498161133	32.7461013152582	47.0331292978159	50.5258132345318	-0.39676398910086	5.50149357796268	0.301553936920859	0.513510041798479	No
AT1G03420	138.298465682802	103.892273470795	159.190008664035	97.109128038352	150.830380161961	202.103252938127	-0.564853312200484	7.16384409559306	0.0485927650302336	0.148285818540267	No
AT1G06740	322.696419926537	233.757615309289	348.135159134432	263.097986429489	379.508698472032	402.720452545827	-0.508747254333534	8.35000619587732	0.0186902491260853	0.075204167359908	No
AT1G07800	123.630446595232	157.019004222906	157.702251573717	134.371932983301	113.528243132659	147.119279712313	0.123282303554765	7.15475950220232	0.649182801038461	0.814346044398044	No
AT1G08105	94.294408420092	103.892273470795	81.8266399674947	74.5256098898981	84.3352663271182	89.1631998256444	0.202327476069208	6.50336994194646	0.444195842711608	0.650298714967519	No
AT1G08735	0	0	0	0	0	0	0	1.5243795465556	1	1	No
AT1G08740	2.09543129822427	14.1671282005629	10.4142996322266	9.03340725938158	4.86549613425682	7.43026665213703	0.616603978403919	3.51698419642973	0.665150113121948	0.825725474400434	No
AT1G10160	479.853767293357	467.515230618577	639.735548836776	404.244974857326	635.758161542891	720.735865257292	-0.5189803441246	9.12917611232778	0.0140476020187673	0.0608521539170355	No
AT1G10260	18.8588816840184	11.8059401671358	19.3408421741351	16.9376386113405	17.840152492275	38.6373865911126	-0.963970303384263	4.53076006806251	0.0633321396285071	0.178361255100026	No
AT1G11150	261.928912278033	245.563555476424	312.428988966798	216.801774225158	319.500912816198	413.122825858819	-0.534457189085635	8.21375446342474	0.0155314994531529	0.0653835161493581	No
AT1G11265	0	0	0	0	0	0	0	1.5243795465556	1	1	No
AT1G12720	255.642618383361	285.703752044686	275.235061708846	258.581282799798	329.231905084711	331.389892685312	-0.278817593970848	8.1907356388466	0.119762577949138	0.278068614952698	No
AT1G12725	79.6263893325221	57.8491068189654	68.4368261546319	56.4587953711349	77.8479381481091	120.37031976462	-0.565416294300004	6.29656291580463	0.0723981400730107	0.196229125489556	No
AT1G12935	6.2862938946728	20.0700982841308	16.3653279934989	14.6792867964951	17.840152492275	19.3186932955563	-0.325194560488454	4.25635130490297	0.482620424344981	0.689062666165978	No
AT1G13660	67.0538015431765	54.3073247688246	50.5837410708149	54.2004435562895	61.6296177005864	52.0118665649592	0.0680713614549302	5.88213209824733	0.837517660774444	0.941828703700327	No
AT1G15300	347.841595505228	279.800781961118	386.816843482702	306.006670911551	390.861522785298	451.760212449932	-0.437851317572196	8.50111535847018	0.0290225596907317	0.102977318611751	No
AT1G15560	152.966484770371	158.19959823962	153.238980302763	172.763913835673	241.652974668089	230.338266216248	-0.59660914312117	7.55136387298585	0.00330815932181201	0.0230155897202001	No
AT1G16620	8.38172519289707	5.90297008356789	7.43878545159042	10.1625831668043	3.24366408950455	7.43026665213703	0.32059991395625	3.32997508311213	0.810105421645405	0.925868656129434	No
AT1G16660	576.243607011673	592.658196390217	565.347694320872	560.071250081658	583.859536110818	548.353678927713	0.0476794051665453	9.16472957652259	0.78024112439207	0.906873468880956	No
AT1G17275	205.352267225978	210.145734975017	190.432907560715	195.347431984127	269.224119428877	234.79642620753	-0.274764093836162	7.78153976855718	0.151006438390171	0.32653369363359	No
AT1G17277	83.8172519289707	61.3908888691061	49.0959839804968	50.8129158340214	60.0077856558341	47.553706573677	0.397998909829865	5.92200241164231	0.168726570795338	0.352726194865669	No
AT1G17390	96.3898397183163	87.3639572368048	114.557295954493	76.7839617047435	85.9570983718705	95.107413147354	0.00961882423781223	6.57032112894325	1	1	No
AT1G17495	423.277122241302	474.598794718859	376.402543850475	427.957668913202	600.077856558341	576.588692205834	-0.383949874019372	8.91467934616807	0.0238905692992459	0.0896585499759198	No
AT1G17900	102.676133612989	93.2669273203727	65.4613119739957	76.7839617047435	81.0916022376136	90.6492531560718	0.175948293494511	6.44849518491613	0.477389968422651	0.684159700302085	No
AT1G18240	4.19086259644853	11.8059401671358	14.8775709031808	11.291759074227	21.0838165817795	20.8047466259837	-1.20457004458723	4.08969075491902	0.0213700024647869	0.0827466823995497	No
AT1G18930	4.19086259644853	12.9865341838494	11.9020567225447	12.4209349816497	4.86549613425682	7.43026665213703	0.628965471939981	3.63225425401697	0.52253112031802	0.722948941014262	No
AT1G19030	167.634503857941	180.630884557178	238.041134450894	159.2138029466	251.383966936602	292.752506094199	-0.639077867432847	7.76410053822493	0.0046558359342058	0.0289820217722572	No
AT1G19392	41.9086259644853	57.8491068189654	47.6082268901787	55.3296194637122	71.3606099691	69.8445065300881	-0.453462382302535	5.91990365381979	0.110656777593579	0.263295201986729	No
AT1G19415	102.676133612989	138.129499955489	172.579822476898	116.305118464538	171.914196743741	212.505626251119	-0.652944997657149	7.28008945195489	0.0101546813951827	0.0493570628709813	No
AT1G20390	934.562359008023	900.793234752461	974.480894158345	718.155877120836	763.882893078321	867.855144969606	0.168300981336135	9.75153306585107	0.357600502950202	0.57308762785459	No
AT1G21020	20.9543129822427	27.1536623844123	17.853085083817	19.1959904261859	25.9493127160364	17.8326399651289	0.18666367786505	4.61073286613669	0.812433306118887	0.92717336256313	No
AT1G21040	0	0	0	0	0	0	0	1.5243795465556	1	1	No
AT1G21220	77.5309580342979	92.0863333036591	111.581781773856	83.5590171492796	111.906411087907	159.007706355733	-0.661581476610397	6.7657594361165	0.0136939422114258	0.0599859219429795	No
AT1G21260	73.3400954378493	92.0863333036591	105.630753412584	55.3296194637122	116.771907222164	132.258746408039	-0.571492881302542	6.61851225102099	0.0620913168081088	0.176505760744391	No
AT1G21290	100.580702314765	72.0162350195283	71.4123403352681	65.4922026305165	103.797250864145	127.800586416757	-0.463144632111003	6.51875225913376	0.0961204595359738	0.240331936943566	No
AT1G21300	88.0081145254192	43.6819786184024	80.3388828771766	59.846323093403	72.9824420138523	133.744799738467	-0.703726773146136	6.34274604668438	0.0697286837750773	0.191117312341381	No
AT1G21330	69.1492328414008	101.531085437368	90.7531825094032	98.2383039457747	139.477555848695	142.661119721031	-0.682274409298124	6.78612488820887	0.00479715177129139	0.0296254483597315	No
